"locationid","latitude","longitude","CSUMPRE","CSUMPET","CPOVRPR","CSUMGDD1","CAvgMinT","CAvgMaxT","LTNSUMP","LTNSPET","LTNASPO","LTAvgMnT","LTAvgMxT","DFLTSUM","DFLTMinT","DFLTMaxT","DFLTPVP","shapewkt"
10230326,2.708,37.792,30.75,121.691,0.253,509.805,22.606,31.381,1.269,164.211,0.008,23.217,31.116,29.481,-0.612,0.265,0.245,"POLYGON ((37.749999128999946 2.6666664299999852, 37.833332461999944 2.6666664299999852, 37.833332461999944 2.7499997629999853, 37.749999128999946 2.7499997629999853, 37.749999128999946 2.6666664299999852))"
10230680,2.708,38.208,9.375,124.61,0.075,496.13,22.048,31.027,0.226,161.857,0.001,22.784,30.623,9.149,-0.736,0.404,0.074,"POLYGON ((38.166665793999954 2.6666664299999852, 38.249999126999953 2.6666664299999852, 38.249999126999953 2.7499997629999853, 38.166665793999954 2.7499997629999853, 38.166665793999954 2.6666664299999852))"
10230877,3.542,38.625,1.025,131.48,0.008,497.275,21.848,31.304,7.824,152.987,0.057,22.643,30.592,-6.799,-0.795,0.712,-0.049,"POLYGON ((38.583332458999962 3.4999997599999872, 38.666665791999961 3.4999997599999872, 38.666665791999961 3.5833330929999874, 38.583332458999962 3.5833330929999874, 38.583332458999962 3.4999997599999872))"
10231115,1.042,38.958,0,121.491,0,515.565,23.417,30.954,3.176,154.634,0.023,23.719,31.752,-3.176,-0.302,-0.798,-0.023,"POLYGON ((38.916665790999957 0.99999976999998808, 38.999999123999956 0.99999976999998808, 38.999999123999956 1.083333102999988, 38.916665790999957 1.083333102999988, 38.916665790999957 0.99999976999998808))"
10231468,0.875,38.042,3.45,105.991,0.033,437.695,20.879,28.3,1.46,140.544,0.011,21.125,29.486,1.99,-0.246,-1.186,0.021,"POLYGON ((37.999999127999956 0.8333331039999905, 38.083332460999955 0.8333331039999905, 38.083332460999955 0.91666643699999051, 37.999999127999956 0.91666643699999051, 37.999999127999956 0.8333331039999905))"
10233191,2.792,37.375,33.675,118.897,0.283,514.46,22.773,31.525,4.795,161.968,0.03,23.263,31.428,28.88,-0.49,0.096,0.253,"POLYGON ((37.333332463999966 2.7499997629999839, 37.416665796999965 2.7499997629999839, 37.416665796999965 2.8333330959999841, 37.333332463999966 2.8333330959999841, 37.333332463999966 2.7499997629999839))"
10241563,2.542,39.375,4.525,131.533,0.034,519.86,22.782,31.876,10.805,156.709,0.075,23.749,31.656,-6.28,-0.968,0.22,-0.041,"POLYGON ((39.333332455999965 2.4999997639999876, 39.416665788999964 2.4999997639999876, 39.416665788999964 2.5833330969999877, 39.333332455999965 2.5833330969999877, 39.333332455999965 2.4999997639999876))"
10242112,3.792,37.625,1.375,127.232,0.011,504.285,22.128,31.491,4.233,159.892,0.027,22.553,30.924,-2.858,-0.425,0.567,-0.016,"POLYGON ((37.583332462999948 3.7499997589999836, 37.666665795999947 3.7499997589999836, 37.666665795999947 3.8333330919999837, 37.583332462999948 3.8333330919999837, 37.583332462999948 3.7499997589999836))"
10244140,0.875,39.375,0,124.362,0,529.575,23.916,31.389,0.635,155.167,0.005,24.13,32.197,-0.635,-0.214,-0.808,-0.005,"POLYGON ((39.333332455999965 0.8333331039999905, 39.416665788999964 0.8333331039999905, 39.416665788999964 0.91666643699999051, 39.333332455999965 0.91666643699999051, 39.333332455999965 0.8333331039999905))"
10244340,0.792,40.042,0.2,127.94,0.002,544.235,24.375,31.893,6.415,157.17,0.044,24.586,32.643,-6.215,-0.211,-0.75,-0.042,"POLYGON ((39.999999119999956 0.74999977099998461, 40.083332452999954 0.74999977099998461, 40.083332452999954 0.83333310399998461, 39.999999119999956 0.83333310399998461, 39.999999119999956 0.74999977099998461))"
10244477,0.375,38.542,1.975,107.695,0.018,461.24,21.907,28.842,1.223,142.399,0.01,21.893,30.221,0.752,0.014,-1.379,0.009,"POLYGON ((38.499999125999949 0.33333310599999066, 38.583332458999948 0.33333310599999066, 38.583332458999948 0.41666643899999067, 38.499999125999949 0.41666643899999067, 38.499999125999949 0.33333310599999066))"
10247764,1.625,38.958,0,125.26,0,512.335,22.963,31.192,0.209,156.385,0.001,23.579,31.526,-0.209,-0.616,-0.333,-0.001,"POLYGON ((38.916665790999957 1.5833331009999867, 38.999999123999956 1.5833331009999867, 38.999999123999956 1.6666664339999866, 38.916665790999957 1.6666664339999866, 38.916665790999957 1.5833331009999867))"
10248074,4.042,37.375,1.075,126.613,0.008,494.13,21.722,31.22,4.196,158.645,0.027,22,30.645,-3.121,-0.278,0.574,-0.019,"POLYGON ((37.333332463999966 3.9999997579999871, 37.416665796999965 3.9999997579999871, 37.416665796999965 4.0833330909999868, 37.333332463999966 4.0833330909999868, 37.333332463999966 3.9999997579999871))"
10248493,2.208,38.958,0,128.527,0,520.23,22.991,31.691,0.717,158.469,0.005,23.802,31.611,-0.717,-0.811,0.08,-0.005,"POLYGON ((38.916665790999957 2.1666664319999853, 38.999999123999956 2.1666664319999853, 38.999999123999956 2.2499997649999854, 38.916665790999957 2.2499997649999854, 38.916665790999957 2.1666664319999853))"
10248496,2.625,39.125,4.275,130.794,0.033,517.1,22.704,31.77,9.208,157.66,0.063,23.63,31.461,-4.933,-0.927,0.308,-0.03,"POLYGON ((39.083332456999955 2.5833330969999864, 39.166665789999954 2.5833330969999864, 39.166665789999954 2.6666664299999865, 39.083332456999955 2.6666664299999865, 39.083332456999955 2.5833330969999864))"
